CustomerID,Gender,Age,HouseholdSize,AnnualIncome,EmploymentStatus,OwnsHome,City,State
10748,Male,73,4,79200,Employed,No,Fort Worth,Texas
12574,Female,72,5,74500,Retired,Yes,Charlotte,North Carolina
29677,Female,18,3,21100,Student,Yes,Aurora,Illinois
8857,Male,62,2,110900,Employed,Yes,Erie,Pennsylvania
21099,Female,26,3,13900,Student,Yes,Tucson,Arizona
17459,Male,35,4,135900,Employed,Yes,Aurora,Illinois
1477,Male,23,3,60200,Employed,No,Philadelphia,Pennsylvania
5121,Female,31,4,93600,Employed,Yes,Durham,North Carolina
18339,Female,18,3,23100,Student,Yes,Chicago,Illinois
28280,Male,46,2,80400,Employed,Yes,Chandler,Arizona
1685,Male,47,3,118800,Employed,No,Philadelphia,Pennsylvania
20372,Female,61,4,81000,Employed,Yes,Rockford,Illinois
3609,Female,52,1,45000,Employed,Yes,Fresno,California
13013,Male,19,2,21100,Student,No,Charlotte,North Carolina
6794,Male,64,4,47500,Retired,No,Greensboro,North Carolina
5417,Female,73,5,56100,Retired,No,Toledo,Ohio
21811,Male,40,2,64800,Employed,No,Irvine,California
13639,Male,60,3,45000,Employed,Yes,Cincinnati,Ohio
7527,Female,48,1,55600,Employed,No,Raleigh,North Carolina
17946,Male,67,3,60100,Employed,No,Chicago,Illinois
8970,Male,66,4,52100,Retired,Yes,Santa Ana,California
28442,Male,73,4,57900,Retired,Yes,Macon,Georgia
4985,Female,35,3,100100,Employed,No,Columbus,Ohio
16578,Male,51,5,24200,Unemployed,Yes,Rockford,Illinois
5066,Female,74,5,125100,Employed,No,Akron,Ohio
25593,Female,39,3,103200,Employed,No,San Antonio,Texas
29622,Male,38,4,110800,Employed,No,Scottsdale,Arizona
21383,Female,19,2,23000,Student,No,Savannah,Georgia
25956,Female,78,3,68800,Retired,No,Erie,Pennsylvania
23888,Male,62,2,75000,Retired,No,Glendale,Arizona
8536,Male,41,1,71000,Employed,Yes,Rockford,Illinois
23747,Male,42,1,63800,Employed,No,Philadelphia,Pennsylvania
12790,Female,57,3,45000,Employed,No,Grand Rapids,Michigan
4462,Male,40,1,10700,Unemployed,Yes,Jacksonville,Florida
8104,Male,31,4,63400,Employed,No,Aurora,Illinois
6491,Female,72,5,61200,Retired,No,Long Beach,California
7819,Male,73,5,75000,Retired,Yes,Toledo,Ohio
6142,Male,21,3,45800,Employed,Yes,Naperville,Illinois
9121,Male,51,3,49000,Employed,Yes,Corpus Christi,Texas
9913,Male,38,2,79600,Employed,No,Cleveland,Ohio
344,Female,51,1,45000,Employed,No,Dallas,Texas
293,Male,37,5,81800,Employed,No,Miami,Florida
24477,Male,63,5,65000,Employed,No,Gilbert,Arizona
20286,Female,29,4,92400,Employed,Yes,Joliet,Illinois
16998,Female,28,1,45000,Employed,Yes,Fort Lauderdale,Florida
11891,Female,54,1,50400,Employed,Yes,Grand Rapids,Michigan
27267,Female,42,1,51200,Employed,Yes,Durham,North Carolina
538,Male,70,5,68400,Employed,Yes,Los Angeles,California
20355,Female,28,2,62900,Employed,No,Atlanta,Georgia
14120,Male,54,5,96300,Employed,No,Lansing,Michigan
15333,Male,45,1,68200,Employed,Yes,San Antonio,Texas
12495,Female,18,4,15400,Student,Yes,Philadelphia,Pennsylvania
21938,Male,39,2,115600,Employed,Yes,Aurora,Illinois
1634,Male,22,3,24300,Student,No,Philadelphia,Pennsylvania
2685,Male,38,5,166800,Employed,Yes,Columbus,Ohio
1297,Male,37,3,53900,Employed,No,Chicago,Illinois
1114,Male,20,4,10700,Student,No,Atlanta,Georgia
10213,Female,27,4,113000,Employed,No,Tampa,Florida
17680,Male,51,1,58500,Employed,Yes,Macon,Georgia
89,Female,59,3,12900,Unemployed,Yes,Atlanta,Georgia
1293,Female,21,5,15600,Student,Yes,Los Angeles,California
28051,Male,30,1,188400,Employed,Yes,Grand Rapids,Michigan
22965,Female,27,5,67700,Employed,No,Austin,Texas
6274,Female,50,4,80800,Employed,Yes,San Francisco,California
14702,Female,21,5,53000,Employed,Yes,Chicago,Illinois
27487,Female,35,2,66900,Employed,No,Orlando,Florida
15314,Male,32,1,50100,Employed,No,Gilbert,Arizona
29944,Male,74,5,71800,Retired,No,Fort Worth,Texas
6003,Male,68,2,92900,Employed,Yes,Naperville,Illinois
5671,Female,77,1,66200,Retired,Yes,Pittsburgh,Pennsylvania
22796,Male,20,2,13800,Student,Yes,Tempe,Arizona
19384,Female,36,2,123100,Employed,Yes,Philadelphia,Pennsylvania
21659,Female,28,3,97100,Employed,No,Naperville,Illinois
7843,Female,72,3,163500,Employed,No,Glendale,Arizona
21915,Male,65,2,82700,Employed,No,Santa Ana,California
333,Female,68,1,75000,Retired,No,Chicago,Illinois
10455,Male,36,5,80000,Employed,Yes,Austin,Texas
7031,Female,56,4,45000,Employed,Yes,Akron,Ohio
5514,Male,66,4,60200,Retired,No,San Francisco,California
25356,Male,53,4,22700,Unemployed,Yes,Dayton,Ohio
457,Female,29,4,45000,Employed,No,Charlotte,North Carolina
13445,Male,70,2,67400,Retired,No,Joliet,Illinois
29657,Male,34,4,81000,Employed,No,Philadelphia,Pennsylvania
7301,Male,40,5,65000,Employed,No,Phoenix,Arizona
24052,Male,42,1,78100,Employed,Yes,Joliet,Illinois
7398,Female,52,2,111700,Employed,Yes,Durham,North Carolina
1760,Male,38,4,110800,Employed,No,Charlotte,North Carolina
13162,Female,62,3,75000,Retired,No,Toledo,Ohio
1604,Male,45,1,45000,Employed,Yes,Phoenix,Arizona
24350,Female,36,2,49400,Employed,No,Fort Lauderdale,Florida
23722,Male,22,1,23500,Student,No,Rockford,Illinois
3192,Male,50,1,111600,Employed,Yes,Augusta,Georgia
9707,Female,64,3,55600,Retired,No,Greensboro,North Carolina
15488,Female,72,5,61200,Retired,No,Miami,Florida
13916,Female,18,1,94100,Employed,No,Atlanta,Georgia
12583,Male,60,5,14500,Unemployed,Yes,Rockford,Illinois
12362,Female,65,1,75000,Retired,Yes,Winston-Salem,North Carolina
10100,Male,77,5,67800,Employed,Yes,Fort Lauderdale,Florida
16792,Male,41,2,172600,Employed,No,Sacramento,California
18389,Male,62,5,148700,Employed,Yes,Ann Arbor,Michigan
8242,Female,64,3,58700,Employed,No,Orlando,Florida
11949,Female,20,5,16700,Student,No,San Jose,California
13819,Female,51,1,45000,Employed,No,Dallas,Texas
2412,Male,44,5,102900,Employed,No,Los Angeles,California
25651,Male,44,2,167500,Employed,No,Gilbert,Arizona
27889,Male,33,4,80300,Employed,Yes,Allentown,Pennsylvania
13970,Female,66,1,74800,Retired,No,Raleigh,North Carolina
28886,Female,43,1,48600,Employed,No,Toledo,Ohio
29514,Female,41,3,46400,Employed,Yes,Santa Ana,California
20689,Male,22,4,16800,Student,No,Austin,Texas
7921,Male,62,1,71500,Retired,Yes,Aurora,Illinois
70,Female,50,1,54000,Employed,No,Detroit,Michigan
13946,Female,28,4,10100,Unemployed,Yes,Allentown,Pennsylvania
24995,Female,37,5,8600,Unemployed,Yes,Miami,Florida
1979,Male,45,2,11000,Unemployed,Yes,Charlotte,North Carolina
7553,Female,29,4,58400,Employed,No,El Paso,Texas
19290,Male,76,3,108700,Employed,Yes,Tampa,Florida
