SaleID,CustomerID,StoreID,ProductID,Date,Quantity,UnitPrice,TotalSale,PaymentMethod,DiscountPercent,ReturnFlag,FiscalYear,Channel
15348,1676,1221,689,2019-12-14,1,78.17,1454400.0,Cash,1.34,N,2019,In-store
11718,2062,495,632,2020-02-14,2,0.99,31800.0,Gift Card,14.75,N,2020,Online
15460,1353,1244,703,2019-05-05,4,314.24,21975600.0,Cash,7.29,N,2019,In-store
13692,875,890,656,2024-06-29,1,11.04,201600.0,Mobile Pay,3.13,N,2024,Online
16556,812,1463,3,2017-08-30,3,2.0,93400.0,Credit Card,17.48,N,2017,In-store
15513,1353,1254,635,2019-05-07,1,8.87,152600.0,Credit Card,8.74,N,2019,In-store
16090,1085,1370,125,2020-10-11,1,214.0,3887000.0,Credit Card,3.68,N,2020,In-store
10722,2113,296,1,2020-09-02,3,10.47,518400.00000000006,Cash,12.47,N,2020,Online
16221,677,1396,3,2021-10-07,1,2.0,36000.0,Credit Card,4.33,N,2021,In-store
15739,428,1300,698,2019-11-19,3,51.44,2661000.0,Mobile Pay,8.56,N,2019,Online
16165,538,1385,4,2023-09-28,4,2.44,184000.0,Gift Card,0.0,N,2023,Online
14209,128,994,179,2022-05-29,3,33.48,1713400.0,Gift Card,9.54,N,2022,In-store
11948,1197,541,660,2021-12-07,4,0.99,64400.00000000001,Cash,13.74,N,2021,Online
15733,564,1298,699,2017-11-02,1,72.57,1227000.0,Cash,10.34,N,2017,In-store
5816,1313,101,178,2019-06-01,1,121.58,1966600.0,Gift Card,14.23,N,2019,Online
874,1996,47,179,2019-04-09,2,87.36,2929800.0,Mobile Pay,11.08,N,2019,Online
12982,2221,748,686,2018-12-05,4,46.21,3284200.0,Cash,5.78,N,2018,Online
1573,2267,48,5,2017-12-28,5,62.65,5196000.0,Credit Card,12.04,N,2017,In-store
13206,977,793,8,2018-10-07,1,4.48,82000.0,Cash,2.81,N,2018,Online
9284,2048,39,124,2023-09-16,3,32.24,1741200.0,Gift Card,4.54,N,2023,Online
13148,1313,781,726,2024-10-18,2,10.72,366200.0,Gift Card,9.41,N,2024,Online
1493,994,107,178,2024-05-21,3,45.62,2398000.0,Credit Card,7.09,N,2024,Online
14492,954,1050,668,2024-03-10,2,166.97,5833400.0,Mobile Pay,7.37,N,2024,Online
13950,898,942,645,2023-12-20,3,7.92,421000.0,Cash,6.02,N,2023,In-store
12559,698,664,10,2023-09-07,2,2.96,111400.0,Mobile Pay,0.13,N,2023,Online
6282,355,104,183,2023-08-23,4,149.82,9737000.0,Cash,13.84,N,2023,In-store
13079,2079,768,685,2020-03-25,1,0.99,17200.0,Credit Card,7.95,N,2020,In-store
3779,567,14,183,2021-07-08,2,55.86,1814000.0,Gift Card,13.9,N,2021,In-store
11537,1665,459,721,2017-09-10,4,264.04,18126400.0,Credit Card,8.99,N,2017,In-store
15724,609,1297,643,2020-05-08,3,11.46,584600.0,Cash,9.83,N,2020,In-store
9891,294,11,7,2022-03-04,4,93.32,6436799.999999999,Gift Card,8.56,N,2022,Online
8564,122,19,6,2025-02-08,1,101.05,1778600.0000000002,Cash,6.66,N,2025,In-store
16710,17,1494,709,2020-08-28,3,0.99,52800.0,Credit Card,5.88,N,2020,In-store
10695,128,291,639,2023-05-27,1,383.13,7188200.000000001,Mobile Pay,0.51,N,2023,In-store
15479,1911,1248,687,2025-01-09,3,308.79,15408000.0,Cash,11.8,N,2025,Online
14029,321,958,706,2022-08-27,2,647.37,22455400.0,Credit Card,8.03,N,2022,In-store
11948,1197,541,660,2021-12-07,4,0.99,64400.00000000001,Cash,13.74,N,2021,Online
14554,2052,1063,722,2023-04-02,1,853.85,14459400.0,Gift Card,10.2,N,2023,In-store
15700,507,1292,708,2020-04-29,1,496.76,8640000.0,Gift Card,7.77,N,2020,In-store
12829,89,718,661,2019-12-18,1,4.96,82800.0,Credit Card,11.52,N,2019,Online
5159,1724,88,3,2019-07-07,1,138.72,2514000.0,Credit Card,3.9,N,2019,Online
15602,1579,1272,691,2019-03-22,2,178.66,5727600.0,Credit Card,15.0,N,2019,In-store
12653,1027,682,665,2018-11-05,2,89.98,3057400.0,Credit Card,9.91,N,2018,In-store
13488,331,849,629,2024-08-13,4,0.99,74600.0,Mobile Pay,0.0,N,2024,Online
11888,1096,529,719,2019-07-18,2,10.41,342000.0,Credit Card,12.86,N,2019,In-store
12791,821,710,649,2018-03-12,1,6.26,109400.0,Mobile Pay,7.31,N,2018,Online
15798,1880,1311,700,2023-11-10,2,0.99,37400.0,Credit Card,0.23,N,2023,In-store
12758,1969,703,4,2023-11-03,3,2.44,115400.0,Cash,16.43,N,2023,In-store
12189,609,590,624,2022-06-19,1,0.99,15800.0,Credit Card,15.61,N,2022,In-store
14092,1067,970,672,2018-05-17,3,78.77,4237000.0,Cash,4.92,N,2018,Online
10396,2477,231,625,2023-11-05,1,0.99,17200.0,Mobile Pay,8.34,N,2023,In-store
2451,1810,109,8,2022-12-23,4,147.49,10670400.0,Gift Card,4.09,N,2022,In-store
11610,384,474,719,2020-07-17,1,10.41,185600.0,Gift Card,5.43,Y,2020,In-store
12501,1053,652,703,2025-05-02,1,314.24,5436400.0,Credit Card,8.26,N,2025,In-store
12653,1027,682,665,2018-11-05,2,89.98,3057400.0,Credit Card,9.91,N,2018,In-store
15025,1851,1157,681,2017-12-14,3,186.32,10192800.0,Credit Card,3.3,N,2017,Online
3389,2378,60,4,2018-09-19,5,109.81,9349600.0,Gift Card,9.7,N,2018,In-store
3389,2378,60,4,2018-09-19,5,109.81,9349600.0,Gift Card,9.7,N,2018,In-store
4400,1296,25,4,2019-12-02,1,111.69,1820200.0,Cash,13.58,N,2019,In-store
11627,1053,477,644,2020-06-17,4,7.72,520200.00000000006,Cash,10.69,N,2020,In-store
14727,2094,1097,642,2018-10-13,1,254.77,4675600.0,Credit Card,2.68,N,2018,Online
13860,176,924,725,2018-07-14,2,16.47,561400.0,Credit Card,9.62,N,2018,In-store
3033,922,101,125,2024-06-28,2,126.65,4108000.0,Mobile Pay,14.0,N,2024,In-store
12868,243,725,634,2020-10-03,1,0.99,18600.0,Cash,0.0,Y,2020,Online
10445,303,241,630,2025-08-02,1,198.97,3160400.0,Cash,15.77,N,2025,In-store
15800,2445,1312,664,2018-08-07,4,180.77,12294000.0,Mobile Pay,9.84,N,2018,In-store
10888,2465,329,666,2020-08-20,4,0.99,69600.0,Mobile Pay,6.92,N,2020,In-store
6490,900,47,179,2024-02-10,5,117.36,9852000.0,Cash,10.97,N,2024,Online
14265,1913,1005,624,2018-01-20,2,0.99,36000.0,Cash,3.51,N,2018,Online
12385,502,629,710,2024-08-07,1,772.69,13035600.0,Cash,10.54,N,2024,Online
13692,875,890,656,2024-06-29,1,11.04,201600.0,Mobile Pay,3.13,N,2024,Online
